step,val_acc,val_nll
100,70.6,0.7292
200,73.0,0.6835
300,74.8,0.6169
400,77.0,0.5961
500,75.3,0.6064
600,76.8,0.5652
700,76.7,0.5671
800,77.4,0.5886
900,77.8,0.5551
1000,77.5,0.5583
1100,77.6,0.5525
1200,77.9,0.5426
1300,77.1,0.6419
1400,77.4,0.8367
1500,78.0,0.6278
1600,78.3,0.6207
1700,77.9,0.6986
1800,77.9,0.7278
1900,78.1,0.7066
2000,77.9,0.7045
2100,77.7,0.7307
2200,77.7,0.7425
2300,77.7,0.7386
2400,77.6,0.7353
2500,77.9,0.7351
