step,total_steps,train_loss,train_acc
2200,2500,0.1041,100.0
2210,2500,0.7347,81.2
2220,2500,0.8406,81.2
2230,2500,0.0988,93.8
2240,2500,0.0295,100.0
2250,2500,0.065,100.0
2260,2500,0.4687,87.5
2270,2500,0.0764,93.8
2280,2500,0.3916,87.5
2290,2500,0.2512,87.5
2300,2500,0.0893,100.0
2310,2500,0.3848,75.0
2320,2500,0.1336,93.8
2330,2500,0.1694,93.8
2340,2500,0.2287,87.5
2350,2500,0.0893,100.0
2360,2500,0.2067,93.8
2370,2500,0.0544,100.0
2380,2500,0.191,93.8
2390,2500,0.5701,81.2
2400,2500,0.3316,87.5
2410,2500,0.044,100.0
2420,2500,0.4569,87.5
2430,2500,0.369,81.2
2440,2500,0.3318,87.5
2450,2500,0.5201,81.2
2460,2500,0.3848,93.8
2470,2500,0.2017,87.5
2480,2500,0.054,100.0
2490,2500,0.3669,81.2
2500,2500,0.3549,87.5
