step,total_steps,train_loss,train_acc
1,10000,0.5677,81.2
50,10000,1.0519,68.8
100,10000,0.5233,75.0
150,10000,1.318,56.2
200,10000,0.4165,93.8
250,10000,0.7476,62.5
300,10000,0.5416,68.8
350,10000,0.7288,81.2
400,10000,0.5819,87.5
450,10000,0.7462,81.2
500,10000,0.5646,68.8
550,10000,0.3391,81.2
600,10000,0.3929,87.5
650,10000,0.3129,87.5
700,10000,0.3911,75.0
750,10000,0.3731,81.2
800,10000,0.5014,81.2
850,10000,0.3478,87.5
900,10000,0.6436,81.2
950,10000,0.1415,100.0
1000,10000,0.4105,81.2
1050,10000,0.1685,100.0
1100,10000,0.3688,87.5
1150,10000,0.2832,87.5
1200,10000,0.2684,87.5
1250,10000,0.4764,93.8
1300,10000,0.3557,87.5
1350,10000,0.3289,81.2
1400,10000,0.7856,56.2
1450,10000,0.7475,75.0
1500,10000,0.9995,75.0
1550,10000,0.2834,93.8
1600,10000,0.4544,75.0
1650,10000,0.4645,81.2
1700,10000,0.4431,75.0
1750,10000,0.1266,93.8
1800,10000,0.6521,75.0
1850,10000,0.3496,81.2
1900,10000,0.473,81.2
1950,10000,0.5952,75.0
2000,10000,0.3666,81.2
2050,10000,0.6787,75.0
2100,10000,0.5669,68.8
2150,10000,0.5245,81.2
2200,10000,0.926,68.8
2250,10000,0.4374,87.5
2300,10000,0.4245,75.0
2350,10000,0.7415,87.5
2400,10000,0.2299,93.8
2450,10000,0.4927,87.5
2500,10000,0.476,81.2
2550,10000,0.9014,81.2
2600,10000,0.4513,81.2
2650,10000,0.5045,87.5
2700,10000,0.3581,87.5
2750,10000,0.0678,100.0
2800,10000,0.5725,81.2
2850,10000,0.3258,87.5
2900,10000,0.3724,87.5
2950,10000,0.5963,75.0
3000,10000,0.3185,87.5
3050,10000,0.3321,93.8
3100,10000,0.5283,75.0
3150,10000,0.2154,93.8
3200,10000,0.2575,93.8
3250,10000,0.5076,75.0
3300,10000,0.5134,81.2
3350,10000,0.811,62.5
3400,10000,0.1855,87.5
3450,10000,0.6063,81.2
3500,10000,0.576,81.2
3550,10000,0.1581,93.8
3600,10000,0.588,81.2
3650,10000,0.3494,87.5
3700,10000,0.2002,93.8
3750,10000,0.2255,93.8
3800,10000,0.2928,81.2
3850,10000,0.4017,87.5
3900,10000,0.9334,75.0
3950,10000,0.4885,75.0
4000,10000,0.4042,81.2
4050,10000,0.5209,81.2
4100,10000,0.6806,81.2
4150,10000,0.3941,87.5
4200,10000,0.2665,93.8
4250,10000,0.356,81.2
4300,10000,0.733,75.0
4350,10000,0.3135,93.8
4400,10000,0.4572,75.0
4450,10000,0.282,87.5
4500,10000,0.3398,75.0
4550,10000,0.5631,75.0
4600,10000,0.8059,68.8
4650,10000,0.6679,75.0
4700,10000,0.3386,87.5
4750,10000,0.4503,81.2
4800,10000,0.3121,87.5
4850,10000,0.4426,75.0
4900,10000,0.5799,75.0
4950,10000,0.193,93.8
5000,10000,0.5297,81.2
5050,10000,0.325,87.5
5100,10000,1.0572,81.2
5150,10000,0.4539,81.2
5200,10000,0.734,87.5
5250,10000,0.5891,81.2
5300,10000,0.081,100.0
5350,10000,0.1451,100.0
5400,10000,0.6081,81.2
5450,10000,0.4438,81.2
5500,10000,0.3659,87.5
5550,10000,0.0353,100.0
5600,10000,0.2759,87.5
5650,10000,0.4585,81.2
5700,10000,0.0493,100.0
5750,10000,0.6139,75.0
5800,10000,0.1013,93.8
5850,10000,0.3258,87.5
5900,10000,0.2703,87.5
5950,10000,0.2285,93.8
6000,10000,0.8159,62.5
6050,10000,0.8188,81.2
6100,10000,0.3338,87.5
6150,10000,0.095,93.8
6200,10000,0.2128,93.8
6250,10000,0.0211,100.0
6300,10000,0.1755,93.8
6350,10000,0.1789,93.8
6400,10000,0.1815,93.8
6450,10000,0.524,68.8
6500,10000,0.4789,93.8
6550,10000,0.3233,87.5
